2026-04-03 20:40:41.345 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (429ms)
2026-04-03 21:08:41.885 | DEBUG    | utils.db_client:66 - [DBClient:ry_cloud] 连接成功: 115.190.2.96:3306
2026-04-03 21:08:41.928 | INFO     | utils.db_client:85 - [DBClient:ry_cloud] 健康检查通过。
2026-04-03 21:08:41.929 | INFO     | test_system.conftest:33 - [conftest:system] 数据库 'ry_cloud' 健康检查通过。
2026-04-03 21:08:42.536 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (600ms)
2026-04-03 21:08:43.273 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (705ms)
2026-04-03 21:08:43.737 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (455ms)
2026-04-03 21:08:44.484 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (725ms)
2026-04-03 21:08:44.988 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (413ms)
2026-04-03 21:08:45.725 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (711ms)
2026-04-03 21:08:45.772 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_add_user.py::TestAddUser::test_add_user_duplicate_username | Context: {}
2026-04-03 21:08:46.287 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (431ms)
2026-04-03 21:08:47.031 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (717ms)
2026-04-03 21:08:47.049 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_add_user.py::TestAddUser::test_add_user_duplicate_phonenumber | Context: {}
